"hgnc_symbol"	"chromosome_name"
"ARFGEF1"	"8"
"ARFGEF2"	"20"
"ARFIP1"	"4"
"ARFIP2"	"11"
"ARHGAP1"	"11"
"ARHGAP17"	"16"
"ARHGAP17"	"CHR_HG2471_PATCH"
"ARHGAP18"	"6"
"ARHGAP25"	"2"
"ARHGAP27"	"CHR_HSCHR17_2_CTG5"
"ARHGAP27"	"17"
"ARHGAP27"	"CHR_HSCHR17_1_CTG5"
"ARHGAP4"	"X"
"ARHGAP6"	"X"
"ARHGDIA"	"17"
"ARHGDIB"	"12"
"ARHGEF1"	"19"
"ARHGEF10L"	"1"
"ARHGEF16"	"1"
"ARHGEF2"	"1"
"ARHGEF6"	"X"
"ARHGEF7"	"13"
"ARID1A"	"1"
"ARL1"	"12"
"ARL3"	"10"
"ARL6IP1"	"16"
"ARL6IP5"	"3"
"ARL8A"	"1"
"ARL8B"	"3"
"ARMC10"	"7"
"ARMC10"	"CHR_HSCHR7_1_CTG4_4"
"ARMC9"	"2"
"ARMCX3"	"X"
"ARMT1"	"6"
"ARPC1A"	"7"
"ARPC1B"	"7"
"ARPC2"	"2"
"ARPC3"	"12"
"ARPC4"	"3"
"ARPC5"	"1"
"ARPC5L"	"9"
"ARR3"	"X"
"ARRB1"	"11"
"ARSD"	"X"
"ASAH1"	"8"
"ASB9"	"X"
"ASCC2"	"22"
"ASCC3"	"6"
"ASH2L"	"8"
"ASL"	"7"
"ASMTL"	"X"
"ASNS"	"7"
"ASPH"	"8"
"ASPN"	"9"
"ASPSCR1"	"17"
"ASS1"	"9"
"ATAD1"	"10"
"ATAD1"	"CHR_HG2334_PATCH"
"ATAD3A"	"1"
"ATG16L1"	"2"
"ATG16L1"	"CHR_HG2232_PATCH"
"ATG3"	"3"
"ATG5"	"6"
"ATG7"	"3"
"ATIC"	"2"
"ATL2"	"2"
"ATL3"	"11"
"ATM"	"11"
"ATOX1"	"5"
"ATP13A1"	"19"
"ATP1A1"	"1"
"ATP1B1"	"1"
"ATP1B3"	"3"
"ATP2A2"	"12"
"ATP2A3"	"17"
"ATP2B1"	"12"
"ATP2B4"	"1"
"ATP2C1"	"3"
"ATP6AP1"	"X"
"ATP6AP2"	"X"
"ATP6V0A1"	"17"
"ATP6V0D1"	"16"
"ATP6V1A"	"3"
"ATP6V1B2"	"8"
"ATP6V1C1"	"8"
"ATP6V1D"	"14"
"ATP6V1E1"	"22"
"ATP6V1F"	"7"
"ATP6V1G1"	"9"
"ATP6V1H"	"8"
"ATP7A"	"X"
"ATP8B1"	"18"
"ATP9A"	"20"
"ATPAF1"	"1"
"ATRX"	"X"
"ATXN10"	"22"
"ATXN2L"	"16"
"AUH"	"9"
"AUP1"	"2"
"AVEN"	"15"
"AVL9"	"7"
"AZGP1"	"7"
"AZU1"	"19"
"AZU1"	"CHR_HSCHR19_5_CTG2"
"B2M"	"15"
"B2M"	"CHR_HSCHR15_3_CTG8"
"B3GNT3"	"19"
"B4GALT1"	"9"
"B4GALT5"	"20"
"BABAM1"	"19"
"BAG1"	"9"
"BAG2"	"6"
"BAG3"	"10"
"BAG5"	"14"
"BAG6"	"CHR_HSCHR6_MHC_SSTO_CTG1"
"BAG6"	"6"
"BAG6"	"CHR_HSCHR6_MHC_QBL_CTG1"
"BAG6"	"CHR_HSCHR6_MHC_MANN_CTG1"
"BAG6"	"CHR_HSCHR6_MHC_COX_CTG1"
"BAG6"	"CHR_HSCHR6_MHC_MCF_CTG1"
"BAG6"	"CHR_HSCHR6_MHC_DBB_CTG1"
"BAIAP2L1"	"7"
"BAK1"	"6"
"BANF1"	"11"
"BASP1"	"5"
"BAX"	"19"
"BAZ1A"	"14"
"BAZ1B"	"7"
"BCAP31"	"X"
"BCAS2"	"1"
"BCAT2"	"19"
"BCCIP"	"10"
"BCKDHA"	"19"
"BCKDHB"	"6"
"BCKDK"	"16"
"BCL2L13"	"22"
"BCL2L15"	"1"
"BCLAF1"	"6"
"BCS1L"	"2"
"BDH1"	"CHR_HSCHR3_2_CTG3"
"BDH1"	"3"
"BDH2"	"4"
"BGN"	"X"
"BID"	"22"
"BIN1"	"2"
"BIRC6"	"2"
"BLMH"	"17"
"BLVRA"	"7"
"BLVRB"	"19"
"BMS1"	"10"
"BOLA2B"	"16"
"BOP1"	"8"
"BOP1"	"CHR_HG2419_PATCH"
"BPHL"	"6"
"BPI"	"20"
"BPNT1"	"1"
"BRAT1"	"7"
"BRCC3"	"X"
"BRI3BP"	"12"
"BRIX1"	"5"
"BRK1"	"3"
"BROX"	"1"
"BSG"	"19"
"BST1"	"4"
"BTAF1"	"10"
"BTF3"	"5"
"BTF3L4"	"1"
"BTK"	"X"
"BUB3"	"10"
"BUD31"	"7"
"BYSL"	"6"
"BZW1"	"2"
"BZW2"	"7"
"C11orf54"	"11"
"C11orf68"	"11"
"C11orf98"	"11"
"C12orf10"	"12"
"C12orf57"	"12"
"C15orf48"	"15"
"C16orf58"	"16"
"C17orf49"	"17"
"C17orf75"	"17"
"C1GALT1C1"	"X"
"C1GALT1C1"	"CHR_HG439_PATCH"
"C1QA"	"1"
"C1QB"	"1"
"C1QBP"	"17"
"C1QC"	"1"
"C1R"	"12"
"C1R"	"CHR_HG1398_PATCH"
"C1S"	"12"
"C2"	"CHR_HSCHR6_MHC_MANN_CTG1"
"C2"	"CHR_HSCHR6_MHC_DBB_CTG1"
"C2"	"6"
"C2"	"CHR_HSCHR6_MHC_SSTO_CTG1"
"C2"	"CHR_HSCHR6_MHC_COX_CTG1"
"C2"	"CHR_HSCHR6_MHC_MCF_CTG1"
"C2"	"CHR_HSCHR6_MHC_QBL_CTG1"
"C20orf27"	"20"
"C2CD5"	"12"
"C3"	"19"
"C4A"	"CHR_HSCHR6_MHC_DBB_CTG1"
"C4A"	"CHR_HSCHR6_MHC_QBL_CTG1"
"C4A"	"6"
"C4A"	"CHR_HSCHR6_MHC_MCF_CTG1"
"C4B"	"CHR_HSCHR6_MHC_DBB_CTG1"
"C4B"	"6"
"C4B"	"CHR_HSCHR6_MHC_COX_CTG1"
"C4B"	"CHR_HSCHR6_MHC_SSTO_CTG1"
"C4B"	"CHR_HSCHR6_MHC_MCF_CTG1"
"C4BPA"	"1"
"C5"	"9"
"C5orf51"	"5"
"C6"	"5"
"C7"	"5"
"C7orf50"	"7"
"C8A"	"1"
"C8B"	"1"
"C8G"	"9"
"C8orf33"	"8"
"C8orf82"	"8"
"C9"	"5"
"C9orf64"	"9"
"CA1"	"8"
"CA12"	"15"
"CA2"	"8"
"CAB39"	"2"
"CAB39L"	"13"
"CACNA2D1"	"7"
"CACYBP"	"1"
"CAD"	"2"
"CALD1"	"7"
"CALM2"	"2"
"CALR"	"19"
"CALU"	"7"
"CAMK2D"	"4"
"CAMK2G"	"10"
"CAMP"	"3"
"CAMSAP3"	"19"
"CAND1"	"12"
"CANT1"	"17"
"CANX"	"5"
"CANX"	"CHR_HG30_PATCH"
"CAP1"	"1"
"CAPG"	"2"
"CAPN1"	"11"
"CAPN2"	"1"
"CAPN5"	"11"
"CAPN6"	"X"
"CAPNS1"	"19"
"CAPRIN1"	"11"
"CAPZA1"	"1"
"CAPZA2"	"7"
"CAPZB"	"1"
"CARD19"	"9"
"CARHSP1"	"16"
"CARM1"	"19"
"CARMIL1"	"6"
"CARS2"	"13"
"CASK"	"X"
"CASP1"	"11"
"CASP3"	"4"
"CASP6"	"4"
"CASP7"	"10"
"CASP8"	"2"
"CAST"	"5"
"CAT"	"11"
"CAV1"	"7"
"CAV2"	"7"
"CBFB"	"16"
"CBR1"	"21"
"CBR3"	"21"
"CBR4"	"4"
"CBX3"	"7"
"CBX5"	"12"
"CC2D1A"	"19"
"CC2D1A"	"CHR_HG109_PATCH"
"CCAR1"	"10"
"CCAR2"	"8"
"CCDC124"	"19"
"CCDC22"	"X"
"CCDC47"	"17"
"CCDC51"	"3"
"CCDC58"	"3"
"CCDC6"	"10"
"CCDC93"	"2"
"CCNK"	"14"
"CCS"	"11"
"CCT2"	"12"
"CCT3"	"1"
"CCT4"	"2"
"CCT5"	"5"
"CCT6A"	"7"
"CCT7"	"2"
"CCT8"	"21"
"CCZ1"	"7"
"CD109"	"6"
"CD14"	"5"
"CD151"	"11"
"CD163"	"12"
"CD276"	"15"
"CD2AP"	"6"
"CD2BP2"	"16"
"CD38"	"4"
"CD44"	"11"
"CD46"	"1"
"CD47"	"3"
"CD55"	"1"
"CD59"	"11"
"CD5L"	"1"
"CD63"	"12"
"CD68"	"17"
"CD74"	"5"
"CD81"	"11"
"CD9"	"12"
"CD99"	"X"
"CDC123"	"10"
"CDC23"	"5"
"CDC27"	"17"
"CDC37"	"19"
"CDC40"	"6"
"CDC42"	"1"
"CDC42BPB"	"14"
"CDC5L"	"6"
"CDC73"	"1"
"CDH1"	"16"
"CDH13"	"16"
"CDH17"	"8"
"CDIPT"	"16"
"CDK1"	"10"
"CDK16"	"X"
"CDK5"	"7"
"CDK5RAP3"	"17"
"CDK9"	"9"
"CDKN2AIP"	"4"
"CDS2"	"20"
"CDV3"	"3"
"CEACAM1"	"19"
"CEACAM5"	"19"
"CEACAM6"	"19"
"CEBPZ"	"2"
"CELF2"	"10"
"CENPV"	"17"
"CEPT1"	"1"
"CERS2"	"1"
"CERS6"	"2"
"CES1"	"16"
"CES1"	"CHR_HSCHR16_1_CTG3_1"
"CES2"	"16"
"CETN2"	"X"
"CFAP20"	"16"
"CFB"	"CHR_HSCHR6_MHC_MANN_CTG1"
"CFB"	"CHR_HSCHR6_MHC_DBB_CTG1"
"CFB"	"6"
"CFB"	"CHR_HSCHR6_MHC_SSTO_CTG1"
"CFB"	"CHR_HSCHR6_MHC_COX_CTG1"
"CFB"	"CHR_HSCHR6_MHC_MCF_CTG1"
"CFB"	"CHR_HSCHR6_MHC_QBL_CTG1"
"CFH"	"1"
"CFI"	"4"
"CFL1"	"11"
"CFL2"	"14"
"CFP"	"X"
"CGN"	"1"
"CHAMP1"	"13"
"CHCHD2"	"7"
"CHCHD3"	"7"
"CHD4"	"12"
"CHDH"	"3"
"CHERP"	"19"
"CHID1"	"11"
"CHM"	"X"
"CHMP1A"	"16"
"CHMP1B"	"18"
"CHMP2A"	"19"
"CHMP3"	"2"
"CHMP4A"	"14"
"CHMP4A"	"CHR_HG1_PATCH"
"CHMP4B"	"20"
"CHMP5"	"9"
"CHMP6"	"17"
"CHMP7"	"8"
"CHORDC1"	"11"
"CHORDC1"	"CHR_HSCHR11_2_CTG8"
"CHP1"	"15"
"CHRAC1"	"8"
"CHTOP"	"1"
"CHUK"	"10"
"CIAO1"	"2"
"CIAPIN1"	"16"
"CIB1"	"15"
"CIRBP"	"19"
"CISD1"	"10"
"CISD2"	"4"
"CKAP4"	"12"
"CKAP5"	"11"
"CKB"	"14"
"CKMT1A"	"15"
"CLASP1"	"2"
"CLASP2"	"3"
"CLC"	"19"
"CLCA1"	"1"
"CLCC1"	"1"
"CLDN2"	"X"
"CLDN3"	"7"
"CLEC3B"	"3"
"CLIC1"	"CHR_HSCHR6_MHC_SSTO_CTG1"
"CLIC1"	"6"
"CLIC1"	"CHR_HSCHR6_MHC_MCF_CTG1"
"CLIC1"	"CHR_HSCHR6_MHC_COX_CTG1"
"CLIC1"	"CHR_HSCHR6_MHC_QBL_CTG1"
"CLIC1"	"CHR_HSCHR6_MHC_MANN_CTG1"
"CLIC1"	"CHR_HSCHR6_MHC_DBB_CTG1"
"CLIC2"	"X"
"CLIC4"	"1"
"CLINT1"	"5"
"CLIP1"	"12"
"CLIP2"	"7"
"CLMN"	"14"
"CLPB"	"11"
"CLPP"	"19"
"CLPTM1"	"19"
"CLPX"	"15"
"CLTA"	"9"
"CLTB"	"5"
"CLTC"	"17"
"CLU"	"8"
"CLUH"	"17"
"CLYBL"	"13"
"CMA1"	"14"
"CMAS"	"12"
"CMBL"	"5"
"CMC1"	"3"
"CMC4"	"X"
"CMPK1"	"1"
"CNBP"	"3"
"CNDP2"	"18"
"CNN1"	"19"
"CNN2"	"19"
"CNN3"	"1"
"CNNM4"	"2"
"CNOT1"	"16"
"CNOT10"	"3"
"CNOT11"	"2"
"CNOT3"	"CHR_HSCHR19_4_CTG3_1"
"CNOT3"	"CHR_HSCHR19LRC_COX1_CTG3_1"
"CNOT3"	"19"
"CNOT3"	"CHR_HSCHR19LRC_PGF1_CTG3_1"
"CNOT3"	"CHR_HSCHR19LRC_LRC_T_CTG3_1"
"CNOT3"	"CHR_HSCHR19LRC_COX2_CTG3_1"
"CNOT3"	"CHR_HSCHR19LRC_LRC_I_CTG3_1"
"CNOT3"	"CHR_HSCHR19LRC_LRC_J_CTG3_1"
"CNOT3"	"CHR_HSCHR19LRC_LRC_S_CTG3_1"
"CNOT3"	"CHR_HSCHR19LRC_PGF2_CTG3_1"
"CNOT7"	"8"
"CNOT9"	"2"
"CNP"	"17"
"CNPY2"	"12"
"CNPY3"	"6"
"COA3"	"17"
"COA6"	"1"
"COASY"	"17"
"COG1"	"17"
"COG2"	"1"
"COG3"	"13"
"COG4"	"16"
"COG5"	"7"
"COG5"	"CHR_HG2266_PATCH"
"COG6"	"13"
"COG7"	"16"
"COG8"	"16"
"COIL"	"17"
"COL12A1"	"6"
"COL14A1"	"8"
"COL15A1"	"9"
"COL18A1"	"21"
"COL1A1"	"17"
"COL1A2"	"7"
"COL2A1"	"12"
"COL3A1"	"2"
"COL4A1"	"13"
"COL4A2"	"13"
"COL4A3"	"2"
"COL4A5"	"X"
"COL4A6"	"X"
"COL5A1"	"9"
"COL5A2"	"2"
"COL6A1"	"21"
"COL6A2"	"21"
"COL6A3"	"2"
"COL8A1"	"3"
"COLGALT1"	"19"
"COMMD10"	"5"
"COMMD2"	"3"
"COMMD4"	"15"
"COMMD5"	"8"
"COMMD6"	"13"
"COMMD9"	"11"
"COMT"	"22"
"COMTD1"	"10"
"COPA"	"1"
"COPB1"	"11"
"COPB2"	"3"
"COPE"	"19"
"COPG1"	"3"
"COPG2"	"7"
"COPS2"	"15"
"COPS3"	"17"
"COPS4"	"4"
"COPS5"	"8"
"COPS6"	"7"
"COPS7A"	"12"
"COPS7B"	"2"
"COPS8"	"2"
"COPZ1"	"12"
"COQ3"	"6"
"COQ5"	"12"
"COQ6"	"14"
"COQ8A"	"1"
"COQ9"	"16"
"CORO1A"	"16"
"CORO1B"	"11"
"CORO1C"	"12"
"CORO7-PAM16"	"16"
"CORO7-PAM16"	"CHR_HSCHR16_3_CTG1"
"COTL1"	"16"
"COX20"	"1"
"COX4I1"	"16"
"COX5A"	"15"
"COX5B"	"2"
"COX6B1"	"19"
"COX6C"	"8"
"COX7A2"	"6"
"COX7A2L"	"2"
"COX7C"	"5"
"CP"	"3"
"CPA3"	"3"
"CPD"	"17"
"CPNE1"	"20"
"CPNE2"	"16"
"CPNE3"	"8"
"CPOX"	"3"
"CPPED1"	"16"
"CPSF1"	"8"
"CPSF1"	"CHR_HG2419_PATCH"
"CPSF2"	"14"
"CPSF3"	"2"
"CPSF6"	"12"
"CPSF7"	"11"
"CPT1A"	"11"
"CPT2"	"1"
"CPVL"	"7"
"CRAT"	"9"
"CRIP1"	"14"
"CRIP2"	"14"
"CRK"	"17"
"CRKL"	"22"
"CRLF3"	"17"
"CRNKL1"	"20"
"CROCC"	"1"
"CRTAP"	"3"
"CRYAB"	"11"
"CRYL1"	"13"
"CRYZ"	"1"
"CS"	"12"
"CSDE1"	"1"
"CSE1L"	"20"
"CSK"	"15"
"CSNK1A1"	"5"
"CSNK2A1"	"20"
"CSNK2A2"	"16"
"CSNK2B"	"CHR_HSCHR6_MHC_SSTO_CTG1"
"CSNK2B"	"6"
"CSNK2B"	"CHR_HSCHR6_MHC_QBL_CTG1"
"CSNK2B"	"CHR_HSCHR6_MHC_MANN_CTG1"
"CSNK2B"	"CHR_HSCHR6_MHC_MCF_CTG1"
"CSNK2B"	"CHR_HSCHR6_MHC_COX_CTG1"
"CSNK2B"	"CHR_HSCHR6_MHC_DBB_CTG1"
"CSPG4"	"15"
"CSRP1"	"1"
"CSRP2"	"12"
"CST3"	"20"
"CSTB"	"21"
"CSTF1"	"20"
"CSTF2"	"X"
"CSTF3"	"11"
"CT45A2"	"X"
"CTBP1"	"4"
"CTBP2"	"10"
"CTCF"	"16"
"CTHRC1"	"8"
"CTNNA1"	"5"
"CTNNA2"	"2"
"CTNNB1"	"3"
"CTNNBL1"	"20"
"CTNND1"	"11"
"CTPS1"	"1"
"CTPS2"	"X"
"CTR9"	"11"
"CTSA"	"20"
"CTSB"	"8"
"CTSB"	"CHR_HG76_PATCH"
"CTSC"	"11"
"CTSD"	"11"
"CTSG"	"14"
"CTSS"	"1"
"CTSZ"	"20"
"CTTN"	"11"
"CTTN"	"CHR_HG2115_PATCH"
"CUL1"	"7"
"CUL2"	"10"
"CUL3"	"2"
"CUL4A"	"13"
"CUL4B"	"X"
"CUL5"	"11"
"CUTA"	"CHR_HSCHR6_MHC_SSTO_CTG1"
"CUTA"	"6"
"CUX1"	"7"
"CWC27"	"5"
"CWF19L1"	"10"
"CXADR"	"21"
"CXorf38"	"X"
"CXorf56"	"X"
"CYB561D2"	"3"
"CYB5A"	"18"
"CYB5B"	"16"
"CYB5R1"	"1"
"CYB5R3"	"22"
"CYBA"	"16"
"CYBB"	"X"
"CYC1"	"8"
"CYCS"	"7"
"CYFIP1"	"15"
"CYFIP1"	"CHR_HSCHR15_1_CTG3"
"CYFIP2"	"5"
"CYGB"	"17"
"CYP20A1"	"2"
"CYP27A1"	"2"
"CYP2S1"	"19"
"CYP51A1"	"7"
"DAB2"	"5"
"DAD1"	"14"
"DAG1"	"3"
"DAP"	"5"
"DAP3"	"1"
"DAPK3"	"19"
"DARS2"	"1"
"DAZAP1"	"19"
"DBI"	"2"
"DBN1"	"5"
"DBNL"	"7"
"DBR1"	"3"
"DBT"	"1"
"DCAF1"	"3"
"DCAF13"	"8"
"DCAF7"	"17"
"DCAF8"	"1"
"DCK"	"4"
"DCN"	"12"
"DCPS"	"11"
"DCTD"	"4"
"DCTN1"	"2"
"DCTN2"	"12"
"DCTN3"	"9"
"DCTN4"	"5"
"DCTPP1"	"16"
"DCUN1D1"	"3"
"DCXR"	"17"
"DDAH1"	"1"
"DDAH2"	"CHR_HSCHR6_MHC_SSTO_CTG1"
"DDAH2"	"6"
"DDAH2"	"CHR_HSCHR6_MHC_MCF_CTG1"
"DDAH2"	"CHR_HSCHR6_MHC_COX_CTG1"
"DDAH2"	"CHR_HSCHR6_MHC_QBL_CTG1"
"DDAH2"	"CHR_HSCHR6_MHC_MANN_CTG1"
"DDAH2"	"CHR_HSCHR6_MHC_DBB_CTG1"
"DDB1"	"11"
"DDI2"	"1"
"DDOST"	"1"
"DDRGK1"	"20"
"DDT"	"CHR_HSCHR22_1_CTG7"
"DDT"	"22"
"DDX1"	"2"
"DDX10"	"11"
"DDX17"	"22"
"DDX18"	"2"
"DDX19A"	"16"
"DDX20"	"1"
"DDX21"	"10"
"DDX23"	"12"
"DDX24"	"CHR_HSCHR14_7_CTG1"
"DDX24"	"14"
"DDX27"	"20"
"DDX28"	"16"
"DDX39A"	"19"
"DDX39B"	"CHR_HSCHR6_MHC_COX_CTG1"
"DDX39B"	"6"
"DDX39B"	"CHR_HSCHR6_MHC_SSTO_CTG1"
"DDX39B"	"CHR_HSCHR6_MHC_DBB_CTG1"
"DDX39B"	"CHR_HSCHR6_MHC_MANN_CTG1"
"DDX39B"	"CHR_HSCHR6_MHC_QBL_CTG1"
"DDX39B"	"CHR_HSCHR6_MHC_MCF_CTG1"
"DDX39B"	"CHR_HSCHR6_MHC_APD_CTG1"
"DDX3X"	"X"
"DDX3Y"	"Y"
"DDX42"	"17"
"DDX46"	"5"
"DDX47"	"12"
"DDX49"	"19"
"DDX5"	"17"
"DDX50"	"10"
"DDX52"	"17"
"DDX52"	"CHR_HSCHR17_7_CTG4"
"DDX54"	"12"
"DDX56"	"7"
"DDX58"	"9"
"DDX6"	"11"
"DDX60"	"4"
"DECR1"	"8"
"DEK"	"6"
"DENND2D"	"1"
"DENND4C"	"9"
"DENR"	"12"
"DERA"	"12"
"DERL1"	"8"
"DES"	"2"
"DFFA"	"1"
"DGAT1"	"8"
"DGAT1"	"CHR_HG2419_PATCH"
"DGKA"	"12"
"DHCR24"	"1"
